scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence
0,cloud000000.pcd,-0.02705074344430524,-0.004870587658343892,0.0008497179735934474,-0.031085969576230815,-1.7810948587901059,0.0
1,cloud000005.pcd,-0.06591091427351745,-0.02776436427720494,0.00260163735237553,-0.04626132801825589,-2.650578850116367,0.0
2,cloud000010.pcd,-0.04264412103406146,-0.008592886207093468,0.011732341577686772,-0.09563276879833665,-5.479354035295076,0.20502971453756733
3,cloud000015.pcd,0.02740677502969322,-0.02975454154853557,0.014455419139448245,-0.17509061157729264,-10.031953075743298,0.27105857446676446
4,cloud000020.pcd,0.054628437667112534,-0.07218094812527134,0.016312628160840222,-0.28319793981495756,-16.226046718196965,0.27091913477324986
5,cloud000025.pcd,0.061255172575329496,-0.0674276593463098,0.021878070692169842,-0.3402740144265338,-19.496264904614076,0.2712167153230512
6,cloud000030.pcd,0.0036468997393836536,-0.037109612232544595,0.02743489488292344,-0.2710811214882106,-15.531804166947598,0.27126086624555723
7,cloud000035.pcd,-0.02438049043701563,-0.05097389907129213,0.030636889885699174,-0.33324033225925037,-19.093264601992303,0.2693950948217725
8,cloud000040.pcd,0.017278692995546234,-0.021510402573869342,0.030835451022602742,-0.38157101120003095,-21.86240852630084,0.2703661393816353
9,cloud000045.pcd,0.06351051433136179,-0.05179430332817841,0.04156926316191525,-0.42435563312675345,-24.31378679076492,0.2692705958998277
10,cloud000050.pcd,-0.0025272880368790024,-0.10769350271363888,0.03451670153684241,-0.5795760879732748,-33.20726374757155,0.2710414841435568
11,cloud000055.pcd,0.0006171011078180025,-0.10875944201608177,0.03817138182378546,-0.6298203190329099,-36.086046132168775,0.2717732813509171
12,cloud000060.pcd,0.03449967754433533,-0.17967900898703673,0.041652608350584,-0.6866442986592299,-39.341820339894284,0.2701601893748811
13,cloud000065.pcd,0.059174982128330784,-0.17889184508996087,0.04394543744784957,-0.7291260701131583,-41.775846550443724,0.270616514773441
14,cloud000070.pcd,0.01431899871865519,-0.11012656841002126,0.04399723951606776,-0.5994184039565118,-34.344144709176014,0.27149385863974523
15,cloud000075.pcd,0.011372115531295277,-0.1356148829769276,0.043373835289463904,-0.6281072115567313,-35.98789230393143,0.272008216290276
16,cloud000080.pcd,0.019040948417788542,-0.11683299377782082,0.04833220647666775,-0.6775735940148984,-38.82210724656437,0.27133167967091093
17,cloud000085.pcd,0.05364870051899468,-0.14432918539223746,0.04778353903619456,-0.7773988838590301,-44.54167504330328,0.27121501677377235
18,cloud000090.pcd,-0.06598978230743305,-0.10411360719878435,0.04787504936431804,-0.8610591070826235,-49.33505274713753,0.27136128535300014
19,cloud000095.pcd,-0.07218950027732342,-0.10643189459168642,0.05214170831995701,-0.9317971908721278,-53.38804639911891,0.2714049736707445
20,cloud000100.pcd,-0.02086040401279788,-0.1170039573647302,0.0583701430739682,-0.97465237147185,-55.843467377753925,0.27149807184932084
21,cloud000105.pcd,0.03525941784212844,-0.18243342607570115,0.06843655362183097,-1.0664346582906095,-61.10220504652805,0.27074175320913935
22,cloud000110.pcd,0.06106165390765913,-0.17521617071062623,0.07557353980625363,-1.0975840838288682,-62.8869356641273,0.27095659582613746
23,cloud000115.pcd,0.11160618025041796,-0.24512072644835872,0.073797271836275,-1.1501184939043476,-65.89693564066182,0.2714027578038981
24,cloud000120.pcd,0.1911071032022012,-0.3684609882425084,0.07272060878656939,-1.0948625807913754,-62.73100502614693,0.27067344186250397
25,cloud000125.pcd,0.2979648221149567,-0.5458283049485821,0.08757823293306,-1.1078431370295139,-63.47473611432447,0.2724270326608652
26,cloud000130.pcd,0.4151692348570776,-0.6662980730778822,0.08910030806630226,-1.1521212051369727,-66.01168254187468,0.2699421371172718
27,cloud000135.pcd,0.48372271796511945,-0.757494076603136,0.09326686079215774,-1.1884010797836944,-68.09036624039551,0.2715929908985231
28,cloud000140.pcd,0.5198613255841059,-0.9113425367844081,0.1016428383338897,-1.2533759227328458,-71.81315051590724,0.2717568063776973
29,cloud000145.pcd,0.5467255864282358,-1.1160344666608253,0.10777957866652434,-1.2949151951684563,-74.19317551051184,0.27174816903280713
30,cloud000150.pcd,0.5818316945687966,-1.2275315331695806,0.11899845626616273,-1.3275303692359097,-76.06188733266144,0.27159135358232006
31,cloud000155.pcd,0.5357973442818054,-1.2396216771810664,0.12298005755210335,-1.3693095861747757,-78.45566013461995,0.2712757627660053
32,cloud000160.pcd,0.49936327698008554,-1.210741384127001,0.1286034183820216,-1.2256170459331832,-70.22268403126296,0.269731818705302
33,cloud000165.pcd,0.5410121108729706,-1.2392287719404331,0.13307512676795377,-1.2485648123911264,-71.53749419855497,0.270531222146395
34,cloud000170.pcd,0.46734786334829026,-1.2772859602717184,0.13936616435642527,-1.2532065578796519,-71.80344662462137,0.27075259230598486
35,cloud000175.pcd,0.5267676776943796,-1.2986425028135797,0.13425050036950903,-1.1583349106568395,-66.36770164330018,0.2717504714604521
36,cloud000180.pcd,0.5024536290941425,-1.303876572061168,0.13885118164958846,-1.1751036698322141,-67.32848077172044,0.2705805132138293
37,cloud000185.pcd,0.5168836610948556,-1.3972463696549344,0.1402161452514543,-1.2438091537306286,-71.26501502850361,0.26898802278104955
38,cloud000190.pcd,0.5223983626919103,-1.4493495110988102,0.13789222187602646,-1.3491173989210994,-77.29873302584643,0.2703045142509916
39,cloud000195.pcd,0.4922961238119148,-1.5933817208419492,0.1434400854268675,-1.4207382389705703,-81.40230488586266,0.2704691604724459
40,cloud000200.pcd,0.4603443905675809,-1.534565736042148,0.14855793046377236,-1.470712987474975,-84.26564705739277,0.2696636330946944
41,cloud000205.pcd,0.5074970753318679,-1.4947595766206454,0.14919894221009475,-1.449737979643196,-83.06386763337798,0.26896212296610406
42,cloud000210.pcd,0.47825101523989594,-1.495406068279958,0.14621110716218888,-1.364588530155239,-78.18516354985566,0.2711992386530235
43,cloud000215.pcd,0.40463089028734434,-1.5084920548247795,0.14367859553832008,-1.3674061171156229,-78.34659939109676,0.2706924149082297
44,cloud000220.pcd,0.3767710479315374,-1.449492188602022,0.16096019695313155,-1.340251104087184,-76.79073175194445,0.2687577460877144
45,cloud000225.pcd,0.36038380428213534,-1.4478230889231596,0.1641227079645901,-1.3065473927107867,-74.85965133614981,0.2703170779980707
46,cloud000230.pcd,0.2903135662552394,-1.5201621853663183,0.17206551991337884,-1.3595676029006443,-77.89748560892518,0.27087874241826404
47,cloud000235.pcd,0.18655870421312418,-1.445686800448111,0.18496401218387376,-1.435712326597213,-82.26025690892835,0.2697186221329881
48,cloud000240.pcd,0.27129420514318187,-1.805555919885772,0.16316242380190077,-1.305805174036296,-74.8171253386257,0.26951662553928013
49,cloud000245.pcd,0.33507725037059866,-1.9389938803735074,0.1697349464600087,-1.282163961248485,-73.46258362331342,0.27102199777169206
50,cloud000250.pcd,0.32740570969783456,-1.905056170452142,0.17645365662705542,-1.3533050387170644,-77.53866711227626,0.2694869206628302
51,cloud000255.pcd,0.311975901182726,-1.9132710659175878,0.17665932669912762,-1.2291695289333395,-70.42622631396388,0.2705296236876749
52,cloud000260.pcd,0.3196733836803467,-1.888830785606451,0.17773173974688286,-1.1552576576149804,-66.19138803150787,0.26870632235042197
53,cloud000265.pcd,0.2929365438750183,-1.990666434315441,0.17880634846358703,-1.2582289148974481,-72.09120648494901,0.26961135586670276
54,cloud000270.pcd,0.18558746037146392,-1.9970843580447446,0.18993697676930354,-1.2886601221639928,-73.83478622680987,0.27109851164909216
55,cloud000275.pcd,0.0971617385084228,-2.018540733890469,0.19207261838287812,-1.3246141855541502,-75.89480231541171,0.27021292968284005
56,cloud000280.pcd,0.12110021012321917,-2.040848626964483,0.1834243553539424,-1.207056306652715,-69.15923200584943,0.27092405285040383
57,cloud000285.pcd,0.056817857223407306,-2.0193921917958537,0.19558157433343165,-1.2138363249554547,-69.54769843961788,0.27080907054574477
58,cloud000290.pcd,0.11754198240714624,-2.089106987644909,0.189734858557428,-1.0379631970371657,-59.470910480135466,0.2707036656850153
59,cloud000295.pcd,0.10799965275133867,-2.089875987919679,0.1914333034005099,-0.9667739394907067,-55.39206647605352,0.271280901029901
60,cloud000300.pcd,0.021498258797420317,-2.1154027306838907,0.19625914563622363,-1.0190491137394888,-58.3872133338197,0.27104339242288994
61,cloud000305.pcd,0.033675353201904595,-2.080138043500797,0.1964863755093487,-0.9298348361730927,-53.27561175695654,0.2712945808715676
62,cloud000310.pcd,0.14620698937275112,-2.146890142922296,0.2019499097788179,-0.9718627998487764,-55.68363669710235,0.2701685034533155
63,cloud000315.pcd,0.16498758972886196,-2.2234646660383914,0.20807731350261857,-1.067329472710922,-61.1534741362594,0.2713637557488081
64,cloud000320.pcd,0.24294544931062984,-2.35744020906975,0.21394362523755173,-1.071436357109251,-61.38878127923177,0.2709618285617942
65,cloud000325.pcd,0.32182444355967516,-2.3231646712579477,0.22013876454247705,-1.225501747746752,-70.21607793179494,0.2695288585295977
66,cloud000330.pcd,0.35979942334460446,-2.4497102240053765,0.21301874453061534,-1.2485174886381496,-71.53478274723868,0.2722749336740276
67,cloud000335.pcd,0.4365843552127405,-2.713246715494023,0.20100258210956395,-1.0940470483440004,-62.68427845885636,0.27180603851566637
68,cloud000340.pcd,0.5228692586506616,-2.7332197545632466,0.20675753882619408,-1.192566104501425,-68.32900457828914,0.268721222939469
69,cloud000345.pcd,0.5681603052000112,-2.771723294055127,0.20418249055624418,-1.2577094575370908,-72.06144377056353,0.2699374508871904
70,cloud000350.pcd,0.6510586228156692,-2.8728165839721553,0.19849272781098537,-1.3206036113948785,-75.66501334266121,0.2700336525982195
71,cloud000355.pcd,0.7250822557836925,-2.9261553436295404,0.1956973792750033,-1.3612589867220881,-77.99439476343062,0.26933313135262804
72,cloud000360.pcd,0.7532394995791731,-3.0405604466029157,0.18249427780001976,-1.4221038559828607,-81.48054897709817,0.2675571893970678
73,cloud000365.pcd,0.8465315280793388,-2.994430020408415,0.1960017761424827,-1.5161793900731535,-86.87068003591104,0.27089231434899647
74,cloud000370.pcd,0.8371840681370258,-2.9455755652680793,0.19841636250614966,-1.5983506116141017,-91.57874422764185,0.27149285351983005
75,cloud000375.pcd,0.7075354696995019,-3.0306891827482767,0.19146109684295176,-1.557497690416272,-89.23804426222567,0.2689052688263893
76,cloud000380.pcd,0.604616370676639,-3.126387244608039,0.19169098719442407,-1.5142739577888622,-86.76150680787318,0.2698582555619706
77,cloud000385.pcd,0.6266050365659442,-3.0536098057883927,0.19453821910911592,-1.685345031149315,-96.5631573082,0.27000603474744395
78,cloud000390.pcd,0.5795619098565863,-3.031458823711318,0.19683529466527866,-1.7391393808118027,-99.64534650551157,0.2697995716182064
79,cloud000395.pcd,0.536714299251944,-3.0070165694576607,0.20248245832562936,-1.852044669962724,-106.11434305856355,0.27003552128609554
80,cloud000400.pcd,0.5259444619231771,-3.006359113342516,0.20343155640759739,-1.9186572011402871,-109.93095995772154,0.26993831747032804
81,cloud000405.pcd,0.4838995464352615,-3.074612240584627,0.20705217562559206,-1.9407228112515686,-111.19522628947915,0.2710635386747124
82,cloud000410.pcd,0.5165961669901789,-3.031675738574326,0.2094545932263849,-2.027773465812441,-116.18286139966838,0.2696442294104833
83,cloud000415.pcd,0.5167871366352954,-2.9694994787664,0.21643028423756389,-2.099503162855647,-120.29267030599613,0.26953509309595386
84,cloud000420.pcd,0.49450115942546313,-3.0197413756093425,0.21478091305013494,-2.1490075065757583,-123.12906026872346,0.2708214882502732
85,cloud000425.pcd,0.41726948891837895,-3.0960333777416533,0.22121845669910808,-2.174380769266671,-124.58284113338951,0.2713101153561815
86,cloud000430.pcd,0.3385432784171023,-3.225602646462839,0.22188340060241277,-2.1873318514314724,-125.32488348155978,0.2709678248738979
87,cloud000435.pcd,0.27224975560133086,-3.3406404474609737,0.2314780535311107,-2.2102787368238817,-126.63964316751523,0.27113423434565753
88,cloud000440.pcd,0.16961529661393188,-3.4208140712099193,0.22941539688883425,-2.2233018308101498,-127.3858114891306,0.27067243916949896
89,cloud000445.pcd,0.1279287778935053,-3.3674697731154986,0.23175681535319329,-2.3321681057506276,-133.62338957453082,0.2712458411070411
90,cloud000450.pcd,0.1444361387349211,-3.2632867798005822,0.24300342683605441,-2.3250180437246635,-133.21372119718632,0.27190667591255685
91,cloud000455.pcd,0.1300707539587875,-3.415420497502092,0.2361011799361484,-2.255999258664663,-129.2592361061277,0.27155363498667073
92,cloud000460.pcd,0.1829726198561819,-3.2510582962545578,0.2541353749873876,-2.2263228944277484,-127.55890568405952,0.2712877438314304
93,cloud000465.pcd,0.11085328838780614,-3.282216339071179,0.2534497203823609,-2.1260153581886394,-121.81170720420302,0.26901499131297696
94,cloud000470.pcd,0.1664404161051686,-3.283825128085728,0.251677223080723,-2.111810477405584,-120.99782748684747,0.27185165034297304
95,cloud000475.pcd,0.12226078859254383,-3.1773986304905275,0.2554917696333974,-2.139532033452554,-122.58615564987421,0.270490740497057
96,cloud000480.pcd,0.0937878042666852,-3.232525246181167,0.24506362219343159,-2.1565621773279533,-123.56191101843515,0.27050469502505164
97,cloud000485.pcd,0.0023215180132315216,-3.3826354694228034,0.24502367525398375,-2.158365048026645,-123.665207900478,0.2685898596984733
98,cloud000490.pcd,-0.05598415625869162,-3.4969705767488297,0.25371636563040656,-2.191511153938582,-125.56433987652561,0.26926072359995096
99,cloud000495.pcd,-0.14659660365000216,-3.577977283939969,0.25082848678656355,-2.167307700962517,-124.17758417135373,0.2697634248210093
100,cloud000500.pcd,-0.18147385902570784,-3.634715512853958,0.2569911026635799,-2.1845452989533087,-125.16522578516928,0.2696537708256198
101,cloud000505.pcd,0.0232075160349354,-3.326588771462162,0.28015800934673174,-2.274163552766437,-130.29997349599373,0.2682093361426777
102,cloud000510.pcd,0.017912826271318738,-3.326244535962318,0.2817370945273085,-2.2477003173191443,-128.78374179260285,0.26912282165520346
103,cloud000515.pcd,0.030157323872888588,-3.3292444574149616,0.28579941905894923,-2.215659745279085,-126.9479522415226,0.26799043847565346
104,cloud000520.pcd,-0.14357063561258662,-3.9091941300712065,0.263945020368249,-2.2204199868272174,-127.22069399169341,0.2679056328632075
105,cloud000525.pcd,-0.09392220160217368,-3.971047795631924,0.2592477020158247,-2.2480182036588783,-128.80195533823448,0.2689878312114082
106,cloud000530.pcd,-0.11400361140393139,-4.020122481658775,0.26256971438064486,-2.2919730531950346,-131.3203827057888,0.2681550853572752
107,cloud000535.pcd,-0.041244666075543945,-4.0069608305201685,0.26440237555352086,-2.280563570351571,-130.66666749243143,0.2630008315628271
108,cloud000540.pcd,-0.13850844649588165,-4.1357738278759895,0.25733619814060416,-2.2261294497713595,-127.54782212167909,0.26750926231306893
109,cloud000545.pcd,-0.15032495981436805,-4.134806509722078,0.25592217605636886,-2.1591577308710104,-123.71062528195255,0.27035532374096694
110,cloud000550.pcd,-0.1382114460251119,-4.100426851129505,0.25060591425407724,-2.127677828746985,-121.90695975076099,0.2703360833453925
111,cloud000555.pcd,-0.0796964307522845,-4.082487531887113,0.2534178427750831,-2.10055007043265,-120.35265369169866,0.2705654857222636
112,cloud000560.pcd,-0.07319706190079497,-4.011722015205934,0.2604073316725587,-1.988735001342961,-113.94612214689577,0.2703084501279969
113,cloud000565.pcd,-0.13822446916084546,-4.1175121789790685,0.2610300692898051,-1.9834558327862588,-113.64364806925856,0.27056237899875
114,cloud000570.pcd,0.03679859988303444,-3.9939634832811466,0.26952740399107267,-2.006494621589018,-114.96367343274993,0.27065276822340734
115,cloud000575.pcd,0.17334179210558037,-4.085423225772009,0.2711841205017458,-2.0748210919284364,-118.87849181222441,0.2697460362050295
116,cloud000580.pcd,0.21380230065508474,-4.181808092530284,0.271100338440099,-2.132829186351056,-122.20211080023688,0.2708363085599804
117,cloud000585.pcd,0.1665365126834324,-4.282607028861385,0.26660540624071727,-2.20707463969461,-126.45606192485799,0.2716362343143927
118,cloud000590.pcd,0.03168442846484462,-4.436706052302642,0.2573364039026742,-2.2193628822827995,-127.16012636279416,0.27143232530776634
119,cloud000595.pcd,0.09786626213981094,-4.47217954540722,0.25848241304483577,-2.2251170186967455,-127.4898140940558,0.27146923919982197
120,cloud000600.pcd,0.003295825648368403,-4.6202070774918775,0.2572891501143578,-2.2847191524890693,-130.90476481033002,0.2683780680658491
121,cloud000605.pcd,-0.06998604035187397,-4.7504500912590215,0.25024828858095144,-2.301766248710864,-131.8814914767923,0.26718432121865504
122,cloud000610.pcd,-0.1006512104158855,-4.917517083115262,0.2458978938559331,-2.4263519504783413,-139.01972637574428,0.26832317239796316
123,cloud000615.pcd,-0.07427929846767299,-4.956149257502837,0.24432541688248785,-2.4509132870203914,-140.4269872988042,0.2676479013841388
